Iteration: 1020, Creation Time: 9.58 sec, Embedding Time: 1.84 sec, Workflow Time: 39.48 sec
Iteration: 1021, Creation Time: 9.32 sec, Embedding Time: 2.47 sec, Workflow Time: 29.36 sec

Iteration: 1013, Creation Time: 9.14 sec, Embedding Time: 2.59 sec, Workflow Time: 31.30 sec
Iteration: 1014, Creation Time: 9.21 sec, Embedding Time: 2.07 sec, Workflow Time: 29.37 sec
Iteration: 1015, Creation Time: 9.16 sec, Embedding Time: 1.73 sec, Workflow Time: 24.28 sec
Iteration: 1016, Creation Time: 9.72 sec, Embedding Time: 7.72 sec, Workflow Time: 28.75 sec
Iteration: 1017, Creation Time: 9.63 sec, Embedding Time: 2.18 sec, Workflow Time: 26.94 sec
Iteration: 1018, Creation Time: 9.70 sec, Embedding Time: 2.38 sec, Workflow Time: 32.43 sec
Iteration: 1019, Creation Time: 9.61 sec, Embedding Time: 2.97 sec, Workflow Time: 24.20 sec
Iteration: 1020, Creation Time: 9.85 sec, Embedding Time: 2.17 sec, Workflow Time: 29.16 sec
Iteration: 1021, Creation Time: 9.75 sec, Embedding Time: 5.76 sec, Workflow Time: 32.18 sec
Iteration: 1022, Creation Time: 9.65 sec, Embedding Time: 5.12 sec, Workflow Time: 18.32 sec

Iteration: 1014, Creation Time: 9.57 sec, Embedding Time: 2.33 sec, Workflow Time: 28.91 sec
Iteration: 1015, Creation Time: 9.44 sec, Embedding Time: 3.04 sec, Workflow Time: 35.56 sec
Iteration: 1016, Creation Time: 9.72 sec, Embedding Time: 1.54 sec, Workflow Time: 13.10 sec
Iteration: 1017, Creation Time: 9.47 sec, Embedding Time: 4.14 sec, Workflow Time: 25.92 sec
Iteration: 1018, Creation Time: 9.57 sec, Embedding Time: 1.43 sec, Workflow Time: 16.31 sec
Iteration: 1019, Creation Time: 9.47 sec, Embedding Time: 1.64 sec, Workflow Time: 26.51 sec
